iter	Passed	Remaining
0	0	84
1	1	76
2	2	72
3	2	67
4	3	68
5	4	69
6	5	69
7	5	68
8	6	68
9	7	67
10	8	66
11	8	65
12	9	64
13	10	63
14	11	62
15	11	62
16	12	61
17	13	60
18	14	59
19	14	58
20	15	57
21	16	57
22	16	56
23	17	55
24	18	54
25	19	55
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	25	50
33	25	49
34	26	49
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	30	44
41	31	42
42	31	42
43	32	41
44	33	40
45	33	39
46	34	38
47	35	38
48	35	37
49	36	36
50	37	35
51	37	34
52	38	34
53	39	33
54	39	32
55	40	31
56	40	30
57	41	30
58	42	29
59	42	28
60	43	27
61	44	27
62	44	26
63	45	25
64	46	24
65	46	24
66	47	23
67	48	22
68	49	22
69	49	21
70	50	20
71	51	19
72	51	19
73	52	18
74	53	17
75	53	16
76	54	16
77	55	15
78	55	14
79	56	14
80	57	13
81	57	12
82	58	11
83	59	11
84	59	10
85	62	10
86	63	9
87	64	8
88	64	8
89	65	7
90	66	6
91	66	5
92	67	5
93	68	4
94	68	3
95	69	2
96	70	2
97	70	1
98	71	0
99	72	0
